MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;commentsFinal;areaBis;speciesIncluded;area_new;areaBis_new;region_new
DNK;2016-2018;Dentex spp;Other regions;CECAF;34.1.1;N;11;-;5%;Y;( Dentexarter ); 34.1.3,34.3.1,34.3.3-6,34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3?;Dentex spp;34.1.1; 34.1.3,34.3.1,34.3.3-6,34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3?;Other regions
DNK;2016-2018;Dicentrarchus labrax;North Atlantic;ICES;all areas excluding IX;-;-;-;-;-;( Bars );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10,27_12,27_14;Dicentrarchus labrax;all areas excluding IX;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Dicentrarchus labrax;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;( Bars );27_4,27_7_D;Dicentrarchus labrax;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Dicentrarchus labrax;North Atlantic;ICES;IX;-;-;-;-;-;( Bars );27_9;Dicentrarchus labrax;IX;27_9;North Atlantic
DNK;2016-2018;Dicologlossa cuneata;North Atlantic;ICES;VIIIc, IX;-;-;-;-;-;;27_8_C,27_9;Dicologlossa cuneata;VIIIc, IX;27_8_C,27_9;North Atlantic
DNK;2016-2018;Dipturus intermedius;North Atlantic;ICES;IIa, V, VI, VII, VIII, IXa;-;-;-;-;-;;27_2_A,27_5,27_6,27_7,27_8,27_9_A;Dipturus intermedius;IIa, V, VI, VII, VIII, IXa;27_2_A,27_5,27_6,27_7,27_8,27_9_A;North Atlantic
DNK;2016-2018;Dissostichus eleginoides;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Dissostichus eleginoides;South-East Atlantic;47;Other regions
DNK;2016-2018;Dissostichus spp Dissostichus eleginoides and Dissostichus mawsoni);Other regions;CCAMLR;CCAMLR Convention Area;-;-;-;-;-;;48, 58, 88;Dissostichus spp Dissostichus eleginoides and Dissostichus mawsoni);CCAMLR Convention Area;48, 58, 88;Other regions
DNK;2016-2018;Elagatis bipinnulata;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Elagatis bipinnulata;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Emmelichthys nitidus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Emmelichthys nitidus;South-East Atlantic;47;Other regions
DNK;2016-2018;Engraulis encrasicolus;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;( Ansjos );34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Engraulis encrasicolus;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Engraulis encrasicolus;North Atlantic;ICES;IXa (only Cadiz);-;-;-;-;-;( Ansjos );27_9_A;Engraulis encrasicolus;IXa (only Cadiz);27_9_A;North Atlantic
DNK;2016-2018;Engraulis encrasicolus;North Atlantic;ICES;VIII;-;-;-;-;-;( Ansjos );27_8;Engraulis encrasicolus;VIII;27_8;North Atlantic
DNK;2016-2018;Epigonus spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Epigonus spp;South-East Atlantic;47;Other regions
DNK;2016-2018;Epinephelus aeneus;Other regions;CECAF;34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Epinephelus aeneus;34.1.3,34.3.1,34.3.3-6;34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Epinephelus guttatus;Other regions;WECAFC;West Central Atlantic;-;-;-;-;-;;31;Epinephelus guttatus;West Central Atlantic;31;Other regions
DNK;2016-2018;Ethmalosa fimbriata;Other regions;CECAF;34.3.1,34.3.3-6;-;-;-;-;-;;34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Ethmalosa fimbriata;34.3.1,34.3.3-6;34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Etmopterus spinax;North Atlantic;ICES;VI, VII, VIII;-;-;-;-;-;( Sorthaj );27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;Etmopterus spinax;VI, VII, VIII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8;North Atlantic
DNK;2016-2018;Etmopterus spinax;North Atlantic;ICES;VI, VII, VIII;-;-;-;-;-;( Sorthaj );27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K;Etmopterus spinax;VI, VII, VIII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_8,27_7_K;North Atlantic
DNK;2016-2018;Euphausia superba;Other regions;CCAMLR;CCAMLR Convention Area;-;-;-;-;-;;48, 58, 88;Euphausia superba;CCAMLR Convention Area;48, 58, 88;Other regions
DNK;2016-2018;Euthynnus affinis;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Euthynnus affinis;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Euthynnus alleteratus;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;;21,31,27,34,37;Euthynnus alleteratus;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Eutrigla gurnardus;North Atlantic;ICES;VIIde;-;-;-;-;-;( Knurhane );27_7_D,27_7_E;Eutrigla gurnardus;VIIde;27_7_D,27_7_E;North Atlantic
DNK;2016-2018;Eutrigla gurnardus;North Sea and Eastern Arctic;ICES;IV;Y;1089;-;61%;N;( Knurhane );27_4;Eutrigla gurnardus;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Eutrigla gurnardus;North Sea and Eastern Arctic;ICES;IIIa;N;92;-;91%;Y;( Knurhane );27_3_A;Eutrigla gurnardus;IIIa;27_3_A;North Sea and Eastern Arctic
DNK;2016-2018;Farfantepenaeus notialis;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Farfantepenaeus notialis;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Gadus morhua;Other regions;NAFO SA1;21;-;-;-;-;-;( Torsk );;Gadus morhua;21;;Other regions
DNK;2016-2018;Gadus morhua;Other regions;NAFO 2J 3KL;21;-;-;-;-;-;( Torsk );;Gadus morhua;21;;Other regions
DNK;2016-2018;Gadus morhua;North Atlantic;ICES;VIa;N;1;-;0%;Y;( Torsk );27_6_A;Gadus morhua;VIa;27_6_A;North Atlantic
DNK;2016-2018;Gadus morhua;Baltic Sea;ICES;25-32;Y;5096;23%;25%;N;( Torsk ) | FIDES Initial.Quantity = 6521;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32;Gadus morhua;25-32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30, 27_3_D_31,27_3_D_32;Baltic Sea
DNK;2016-2018;Gadus morhua;Other regions;NAFO 3M;21;-;-;-;-;-;( Torsk );;Gadus morhua;21;;Other regions
DNK;2016-2018;Gadus morhua;North Sea and Eastern Arctic;ICES;I-II;N;383;-;1%;Y;( Torsk );27_1,27_2;Gadus morhua;I-II;27_1,27_2;North Sea and Eastern Arctic
DNK;2016-2018;Gadus morhua;North Atlantic;ICES;Va;-;-;-;-;-;( Torsk );27_5_A;Gadus morhua;Va;27_5_A;North Atlantic
DNK;2016-2018;Gadus morhua;North Sea and Eastern Arctic;ICES;IIIaS;Y;191;62%;71%;Y;( Torsk ) | FIDES Initial.Quantity = 389 | Selected due to international obligation to sample the stock;27_3_A;Gadus morhua;IIIaS;27_3_A;North Sea and Eastern Arctic
DNK;2016-2018;Gadus morhua;Other regions;NAFO 3NO;21;-;-;-;-;-;( Torsk );;Gadus morhua;21;;Other regions
DNK;2016-2018;Gadus morhua;North Atlantic;ICES;VIIa;-;-;-;-;-;( Torsk );27_7_A;Gadus morhua;VIIa;27_7_A;North Atlantic
DNK;2016-2018;Gadus morhua;North Atlantic;ICES;VIIe-k;-;-;-;-;-;( Torsk );27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;Gadus morhua;VIIe-k;27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;North Atlantic
DNK;2016-2018;Gadus morhua;North Sea and Eastern Arctic;ICES;IV, VIId;Y;6108;19%;21%;N;( Torsk ) | FIDES Initial.Quantity = 7327;27_4,27_7_D;Gadus morhua;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Gadus morhua;North Atlantic;ICES;Vib;-;-;-;-;-;( Torsk );27_6_B;Gadus morhua;Vib;27_6_B;North Atlantic
DNK;2016-2018;Gadus morhua;Other regions;NAFO 3Ps;21;-;-;-;-;-;( Torsk );;Gadus morhua;21;;Other regions
DNK;2016-2018;Gadus morhua;North Atlantic;ICES;Vb;-;-;-;-;-;( Torsk );27_5_B;Gadus morhua;Vb;27_5_B;North Atlantic
DNK;2016-2018;Gadus morhua;North Sea and Eastern Arctic;ICES;IIIaN;Y;3857;83%;84%;N;( Torsk ) | FIDES Initial.Quantity = 6397;27_3_A;Gadus morhua;IIIaN;27_3_A;North Sea and Eastern Arctic
DNK;2016-2018;Gadus morhua;Baltic Sea;ICES;22-24;Y;3080;44%;48%;N;( Torsk ) | FIDES Initial.Quantity = 2444;27_3_C_22, 27_3_B_23,27_3_D_24;Gadus morhua;22-24;27_3_C_22, 27_3_B_23,27_3_D_24;Baltic Sea
DNK;2016-2018;Galeoides decadactylus;Other regions;CECAF;34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;;34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Galeoides decadactylus;34.1.3,34.3.1,34.3.3-6;34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Galeorhinus galeus;North Sea and Eastern Arctic;ICES;all areas;N;1;-;2%;Y;( Gråhaj );27_4,27_7_D;Galeorhinus galeus;all areas;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Galeorhinus galeus;North Atlantic;ICES;all areas;-;-;-;-;-;( Gråhaj );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Galeorhinus galeus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Galeus melastomus;North Atlantic;ICES;VI, VII;-;-;-;-;-;( Ringhaj );27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K ;Galeus melastomus;VI, VII;27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K ;North Atlantic
DNK;2016-2018;Genyatremus luteus;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Genyatremus luteus;French Guyana;31;Other regions
DNK;2016-2018;Glyptocephalus cynoglossus;Other regions;NAFO 3NO;21;-;-;-;-;-;( Skærising );;Glyptocephalus cynoglossus;21;;Other regions
DNK;2016-2018;Glyptocephalus cynoglossus;North Atlantic;ICES;VI, VII;-;-;-;-;-;( Skærising );27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;Glyptocephalus cynoglossus;VI, VII;27_6,27_7_A,27_7_B,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K;North Atlantic
DNK;2016-2018;Glyptocephalus cynoglossus;Other regions;NAFO 2J3KL;21;-;-;-;-;-;( Skærising );;Glyptocephalus cynoglossus;21;;Other regions
DNK;2016-2018;Glyptocephalus cynoglossus;North Sea and Eastern Arctic;ICES;IIIa;Y;910;-;82%;N;( Skærising ) | Combined with area IV for sampling, since stock covers both areas;27_3_A;Glyptocephalus cynoglossus;IIIa, IV;27_3_A,27_4;North Sea and Eastern Arctic
DNK;2016-2018;Glyptocephalus cynoglossus;North Sea and Eastern Arctic;ICES;IV;Y;522;15%;34%;N;( Skærising ) | FIDES Initial.Quantity = 953 | Combined with area IIIa for sampling, since stock covers both areas;27_4;Glyptocephalus cynoglossus;IIIa, IV;27_3_A,27_4;North Sea and Eastern Arctic
DNK;2016-2018;Haemulidae;Other regions;WECAFC;Guadeloupe and Martinique;-;-;-;-;-;;31;Haemulidae;Guadeloupe and Martinique;31;Other regions
DNK;2016-2018;Harriotta raleighana;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Harriotta raleighana;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Helicolenus dactylopterus;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Helicolenus dactylopterus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Helicolenus dactylopterus;North Sea and Eastern Arctic;ICES;IV;-;-;-;-;-;;27_4;Helicolenus dactylopterus;IV;27_4;North Sea and Eastern Arctic
DNK;2016-2018;Helicolenus spp;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Helicolenus spp;South-East Atlantic;47;Other regions
DNK;2016-2018;Hexanchus griseus;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Hexanchus griseus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Hippoglossoides platessoides;Other regions;NAFO 3LNO;21;-;-;-;-;-;( Håising );;Hippoglossoides platessoides;21;;Other regions
DNK;2016-2018;Hippoglossoides platessoides;Other regions;NAFO 3M;21;-;-;-;-;-;( Håising );;Hippoglossoides platessoides;21;;Other regions
DNK;2016-2018;Hippoglossus hippoglossus;Other regions;NAFO SA1;21;-;-;-;-;-;( Helleflynder );;Hippoglossus hippoglossus;21;;Other regions
DNK;2016-2018;Hippoglossus hippoglossus;North Atlantic;ICES;V, XIV;-;-;-;-;-;( Helleflynder );27_5,27_14;Hippoglossus hippoglossus;V, XIV;27_5,27_14;North Atlantic
DNK;2016-2018;Homarus gammarus;North Atlantic;ICES;all areas;-;-;-;-;-;( Alm.Hummer );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Homarus gammarus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Hoplostethus atlanticus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;( Orange Savbug );47;Hoplostethus atlanticus;South-East Atlantic;47;Other regions
DNK;2016-2018;Hoplostethus atlanticus;North Atlantic;ICES;all areas;-;-;-;-;-;( Orange Savbug );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Hoplostethus atlanticus;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Hydrolagus affinis;North Sea and Eastern Arctic;ICES;IV, VIId;-;-;-;-;-;;27_4,27_7_D;Hydrolagus affinis;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Hydrolagus affinis;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Hydrolagus affinis;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Hydrolagus mirabilis;North Atlantic;ICES;all areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Hydrolagus mirabilis;all areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Hydrolagus pallidus;North Atlantic;ICES;All areas;-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Hydrolagus pallidus;All areas;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Illex illecebrosus;Other regions;NAFO Subareas 3 + 4;21;-;-;-;-;-;( Nordlig blæksprutte );;Illex illecebrosus;21;;Other regions
DNK;2016-2018;Istiophorus albicans;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;;21,31,27,34,37;Istiophorus albicans;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Istiophorus platypterus;Other regions;;West Central Pacific Ocean;-;-;-;-;-;;71;Istiophorus platypterus;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Istiophorus platypterus;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Istiophorus platypterus;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Isurus oxyrinchus;North Atlantic;ICES;all areas (North of 50°N);-;-;-;-;-;;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;Isurus oxyrinchus;all areas (North of 50°N);27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8,27_9,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Jasus tristani;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Jasus tristani;South-East Atlantic;47;Other regions
DNK;2016-2018;Katsuwonus pelamis;Other regions;IOTC;Indian Ocean Western and Eastern;-;-;-;-;-;;51,57;Katsuwonus pelamis;Indian Ocean Western and Eastern;51,57;Other regions
DNK;2016-2018;Katsuwonus pelamis;Other regions;IATTC;East Pacific Ocean;-;-;-;-;-;;;Katsuwonus pelamis;East Pacific Ocean;;Other regions
DNK;2016-2018;Katsuwonus pelamis;Other regions;ICCAT;Atlantic Ocean and adjacent seas;-;-;-;-;-;;21,31,27,34,37;Katsuwonus pelamis;Atlantic Ocean and adjacent seas;21,31,27,34,37;Other regions
DNK;2016-2018;Katsuwonus pelamis;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Katsuwonus pelamis;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Lamna nasus;North Atlantic;ICES;all areas (subareas 1-14);-;-;-;-;-;( Sildehaj );27;Lamna nasus;all areas (subareas 1-14);27;North Atlantic
DNK;2016-2018;Lampris regius;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Lampris regius;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Lepidocybium f lavobrunneum;Other regions;WCPFC;West Central Pacific Ocean;-;-;-;-;-;;71;Lepidocybium f lavobrunneum;West Central Pacific Ocean;71;Other regions
DNK;2016-2018;Lepidopus caudatus;North Atlantic;ICES;IXa;-;-;-;-;-;( Strømpebåndsfisk );27_9_A;Lepidopus caudatus;IXa;27_9_A;North Atlantic
DNK;2016-2018;Lepidorhombus boscii;North Atlantic;ICES;VIIIc, IXa;-;-;-;-;-;;27_8_C,27_9_A;Lepidorhombus boscii;VIIIc, IXa;27_8_C,27_9_A;North Atlantic
DNK;2016-2018;Lepidorhombus boscii;North Sea and Eastern Arctic;ICES;IV, VIId;N;-;0%;0%;Y;Sum of MS shares <10% = 4% | FIDES Initial.Quantity = 7;27_4,27_7_D;Lepidorhombus boscii;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Lepidorhombus whiffiagonis;North Atlantic;ICES;VI;-;-;-;-;-;( Glashvarre );27_6;Lepidorhombus whiffiagonis;VI;27_6;North Atlantic
DNK;2016-2018;Lepidorhombus whiffiagonis;North Atlantic;ICES;VII, VIIIabd;-;-;-;-;-;( Glashvarre );27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B;Lepidorhombus whiffiagonis;VII, VIIIabd;27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B;North Atlantic
DNK;2016-2018;Lepidorhombus whiffiagonis;North Atlantic;ICES;VIIIc, IXa;-;-;-;-;-;( Glashvarre );27_8_C,27_9_A;Lepidorhombus whiffiagonis;VIIIc, IXa;27_8_C,27_9_A;North Atlantic
DNK;2016-2018;Lepidorhombus whiffiagonis;North Sea and Eastern Arctic;ICES;IV, VIId;N;56;0%;86%;Y;( Glashvarre ) | Sum of MS shares <10% = 4% | FIDES Initial.Quantity = 7;27_4,27_7_D;Lepidorhombus whiffiagonis;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Lepidotus caudatus;Other regions;SEAFO;South-East Atlantic;-;-;-;-;-;;47;Lepidotus caudatus;South-East Atlantic;47;Other regions
DNK;2016-2018;Limanda ferruginea;Other regions;NAFO 3LNO;21;-;-;-;-;-;;;Limanda ferruginea;21;;Other regions
DNK;2016-2018;Limanda limanda;North Atlantic;ICES;VIIe;-;-;-;-;-;( Ising );27_7_E;Limanda limanda;VIIe;27_7_E;North Atlantic
DNK;2016-2018;Limanda limanda;North Sea and Eastern Arctic;ICES;IIIa;Y;613;-;74%;N;( Ising ) | Combined with area IV for sampling, since stock covers both areas;27_3_A;Limanda limanda;IIIa, IV, VIId;27_3_A,27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Limanda limanda;Baltic Sea;ICES;22-32;Y;301;-;26%;N;( Ising );27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;Limanda limanda;22-32;27_3_C_22,27_3_B_23,27_3_D_24, 27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;Baltic Sea
DNK;2016-2018;Limanda limanda;North Atlantic;ICES;VIIa,f-h;-;-;-;-;-;( Ising );27_7_A,27_7_F,27_7_G,27_7_H;Limanda limanda;VIIa,f-h;27_7_A,27_7_F,27_7_G,27_7_H;North Atlantic
DNK;2016-2018;Limanda limanda;North Sea and Eastern Arctic;ICES;IV, VIId;Y;602;-;14%;N;( Ising ) | Combined with area IIIa for sampling, since stock covers both areas;27_4,27_7_D;Limanda limanda;IIIa, IV, VIId;27_3_A,27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Lobotes surinamensis;Other regions;WECAFC;French Guyana;-;-;-;-;-;;31;Lobotes surinamensis;French Guyana;31;Other regions
DNK;2016-2018;Loligo vulgaris;Other regions;CECAF;34.1.1,34.1.3,34.3.1,34.3.3-6;-;-;-;-;-;( Blæksprutte );34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Loligo vulgaris;34.1.1,34.1.3,34.3.1,34.3.3-6;34_1_1,34_1_3,34_3_1,34_3_3,34_3_4,34_3_5,34_3_6;Other regions
DNK;2016-2018;Loligo vulgaris;North Atlantic;ICES;VIIIc, IXa;-;-;-;-;-;( Blæksprutte );27_8_C,27_9_A;Loligo vulgaris;VIIIc, IXa;27_8_C,27_9_A;North Atlantic
DNK;2016-2018;Loligo vulgaris;North Atlantic;ICES;all areas excluding VIIIc, IXa;-;-;-;-;-;( Blæksprutte );27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_ B,27_10,27_12,27_14;Loligo vulgaris;all areas excluding VIIIc, IXa;27_5,27_6,27_7_A,27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D,27_8_E,27_9_ B,27_10,27_12,27_14;North Atlantic
DNK;2016-2018;Lophius budegassa;North Atlantic;ICES;VIIb-k, VIIIabd;-;-;-;-;-;;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;Lophius budegassa;VIIb-k, VIIIabd;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;North Atlantic
DNK;2016-2018;Lophius budegassa;North Sea and Eastern Arctic;ICES;IV, VIId;N;-;14%;0%;Y;FIDES Initial.Quantity = 2569;27_4,27_7_D;Lophius budegassa;IV, VIId;27_4,27_7_D;North Sea and Eastern Arctic
DNK;2016-2018;Lophius budegassa;North Atlantic;ICES;IV, VI;N;-;9%;0%;Y;Sum of MS shares <10% = 24% | FIDES Initial.Quantity = 2569;27_4,27_6;Lophius budegassa;IV, VI;27_4,27_6;North Atlantic
DNK;2016-2018;Lophius budegassa;North Atlantic;ICES;VIIIc, IXa;-;-;-;-;-;;27_8_C,27_9_A;Lophius budegassa;VIIIc, IXa;27_8_C,27_9_A;North Atlantic
DNK;2016-2018;Lophius piscatorius;North Atlantic;ICES;VIIb-k, VIIIabd;-;-;-;-;-;( Havtaske );27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;Lophius piscatorius;VIIb-k, VIIIabd;27_7_B,27_7_C,27_7_E,27_7_F,27_7_G,27_7_H,27_7_J,27_7_K,27_8_A,27_8_B,27_8_D;North Atlantic
